time_days	replicate	transfer_volume	prey_history	predator_history	cells_mL
28	E	1800uL	EVO	ANC	6412.40
28	F	1800uL	EVO	ANC	4149.20
32	A	1800uL	EVO	ANC	16219.60
32	B	1800uL	EVO	ANC	12636.20
32	C	1800uL	EVO	ANC	10373.00
32	D	1800uL	EVO	ANC	6789.60
32	E	1800uL	EVO	ANC	13390.60
32	F	1800uL	EVO	ANC	10184.40
36	A	1800uL	EVO	ANC	31307.60
36	B	1800uL	EVO	ANC	9241.40
36	C	1800uL	EVO	ANC	11127.40
36	D	1800uL	EVO	ANC	12636.20
36	E	1800uL	EVO	ANC	13767.80
36	F	1800uL	EVO	ANC	21689.00
40	A	1800uL	EVO	ANC	7544.00
40	B	1800uL	EVO	ANC	10373.00
40	C	1800uL	EVO	ANC	12259.00
40	D	1800uL	EVO	ANC	5092.20
40	E	1800uL	EVO	ANC	11316.00
40	F	1800uL	EVO	ANC	7166.80
44	A	1800uL	EVO	ANC	4903.60
44	B	1800uL	EVO	ANC	6412.40
44	C	1800uL	EVO	ANC	11881.80
44	D	1800uL	EVO	ANC	7166.80
44	E	1800uL	EVO	ANC	9052.80
44	F	1800uL	EVO	ANC	8487.00
48	A	1800uL	EVO	ANC	6789.60
48	B	1800uL	EVO	ANC	9052.80
48	C	1800uL	EVO	ANC	15088.00
48	D	1800uL	EVO	ANC	9052.80
48	E	1800uL	EVO	ANC	18482.80
48	F	1800uL	EVO	ANC	11693.20
52	A	1800uL	EVO	ANC	6223.80
52	B	1800uL	EVO	ANC	5280.80
52	C	1800uL	EVO	ANC	5469.40
52	D	1800uL	EVO	ANC	7355.40
52	E	1800uL	EVO	ANC	6035.20
52	F	1800uL	EVO	ANC	11881.80
56	A	1800uL	EVO	ANC	10938.80
56	B	1800uL	EVO	ANC	12070.40
56	C	1800uL	EVO	ANC	23009.20
56	D	1800uL	EVO	ANC	9807.20
56	E	1800uL	EVO	ANC	17351.20
56	F	1800uL	EVO	ANC	9807.20
60	A	1800uL	EVO	ANC	7921.20
60	B	1800uL	EVO	ANC	11316.00
60	C	1800uL	EVO	ANC	13390.60
60	D	1800uL	EVO	ANC	13013.40
60	E	1800uL	EVO	ANC	12824.80
60	F	1800uL	EVO	ANC	10184.40
4	A	18uL	ANC	EVO	23009.20
4	B	18uL	ANC	EVO	27912.80
4	C	18uL	ANC	EVO	28101.40
4	D	18uL	ANC	EVO	33570.80
4	E	18uL	ANC	EVO	21123.20
4	F	18uL	ANC	EVO	20557.40
8	A	18uL	ANC	EVO	29044.40
8	B	18uL	ANC	EVO	36777.00
8	C	18uL	ANC	EVO	41492.00
8	D	18uL	ANC	EVO	24895.20
8	E	18uL	ANC	EVO	57900.20
8	F	18uL	ANC	EVO	40549.00
12	A	18uL	ANC	EVO	28478.60
12	B	18uL	ANC	EVO	32627.80
12	C	18uL	ANC	EVO	36777.00
12	D	18uL	ANC	EVO	22066.20
12	E	18uL	ANC	EVO	52242.20
12	F	18uL	ANC	EVO	39983.20
16	A	18uL	ANC	EVO	37342.80
16	B	18uL	ANC	EVO	41680.60
16	C	18uL	ANC	EVO	40926.20
16	D	18uL	ANC	EVO	41492.00
16	E	18uL	ANC	EVO	52619.40
16	F	18uL	ANC	EVO	55071.20
20	A	18uL	ANC	EVO	44132.40
20	B	18uL	ANC	EVO	49790.40
20	C	18uL	ANC	EVO	42623.60
20	D	18uL	ANC	EVO	46018.40
20	E	18uL	ANC	EVO	32439.20
20	F	18uL	ANC	EVO	8864.20
24	A	18uL	ANC	EVO	63181.00
24	B	18uL	ANC	EVO	56014.20
24	C	18uL	ANC	EVO	63935.40
24	D	18uL	ANC	EVO	43000.80
24	E	18uL	ANC	EVO	52996.60
24	F	18uL	ANC	EVO	23763.60
28	A	18uL	ANC	EVO	15465.2
28	B	18uL	ANC	EVO	10561.6
28	C	18uL	ANC	EVO	13579.2
28	D	18uL	ANC	EVO	10373
28	E	18uL	ANC	EVO	17162.6
28	F	18uL	ANC	EVO	17917
32	A	18uL	ANC	EVO	46207.00
32	B	18uL	ANC	EVO	37720.00
32	C	18uL	ANC	EVO	69593.40
32	D	18uL	ANC	EVO	56014.20
32	E	18uL	ANC	EVO	52242.20
32	F	18uL	ANC	EVO	62615.20
36	A	18uL	ANC	EVO	19991.60
36	B	18uL	ANC	EVO	25272.40
36	C	18uL	ANC	EVO	33570.80
36	D	18uL	ANC	EVO	29421.60
36	E	18uL	ANC	EVO	30741.80
36	F	18uL	ANC	EVO	38097.20
40	A	18uL	ANC	EVO	45075.40
40	B	18uL	ANC	EVO	48658.80
40	C	18uL	ANC	EVO	54882.60
40	D	18uL	ANC	EVO	49601.80
40	E	18uL	ANC	EVO	44132.40
40	F	18uL	ANC	EVO	37908.60
44	A	18uL	ANC	EVO	35834.00
44	B	18uL	ANC	EVO	20180.20
44	C	18uL	ANC	EVO	4337.80
44	D	18uL	ANC	EVO	15088.00
44	E	18uL	ANC	EVO	5658.00
44	F	18uL	ANC	EVO	18671.40
48	A	18uL	ANC	EVO	48470.20
48	B	18uL	ANC	EVO	25461.00
48	C	18uL	ANC	EVO	38097.20
48	D	18uL	ANC	EVO	43566.60
48	E	18uL	ANC	EVO	35645.40
48	F	18uL	ANC	EVO	33759.40
52	A	18uL	ANC	EVO	46018.40
52	B	18uL	ANC	EVO	8487.00
52	C	18uL	ANC	EVO	24140.80
52	D	18uL	ANC	EVO	15276.60
52	E	18uL	ANC	EVO	12824.80
52	F	18uL	ANC	EVO	16031.00
56	A	18uL	ANC	EVO	54128.20
56	B	18uL	ANC	EVO	8487.00
56	C	18uL	ANC	EVO	37342.80
56	D	18uL	ANC	EVO	36211.20
56	E	18uL	ANC	EVO	2640.40
56	F	18uL	ANC	EVO	12636.20
60	A	18uL	ANC	EVO	32816.40
60	B	18uL	ANC	EVO	23763.60
60	C	18uL	ANC	EVO	28478.60
60	D	18uL	ANC	EVO	27535.60
60	E	18uL	ANC	EVO	26969.80
60	F	18uL	ANC	EVO	24706.60
4	A	180uL	ANC	EVO	45829.80
4	B	180uL	ANC	EVO	42246.40
4	C	180uL	ANC	EVO	35268.20
4	D	180uL	ANC	EVO	40171.80
4	E	180uL	ANC	EVO	30176.00
4	F	180uL	ANC	EVO	32062.00
8	A	180uL	ANC	EVO	33759.40
8	B	180uL	ANC	EVO	31873.40
8	C	180uL	ANC	EVO	33948.00
8	D	180uL	ANC	EVO	32250.60
8	E	180uL	ANC	EVO	46961.40
8	F	180uL	ANC	EVO	44321.00
12	A	180uL	ANC	EVO	32250.60
12	B	180uL	ANC	EVO	29421.60
12	C	180uL	ANC	EVO	29610.20
12	D	180uL	ANC	EVO	29987.40
12	E	180uL	ANC	EVO	42057.80
12	F	180uL	ANC	EVO	37531.40
16	A	180uL	ANC	EVO	20368.80
16	B	180uL	ANC	EVO	30364.60
