species	tetrahymena	bacteria_history	replicate	auc_log	gr	k_lin	OD_Min	OD_Max
HAMBI2792	no	evo	B	58.20807033766839	0.05868095090439767	0.27850193110642973	0.097	0.38
HAMBI2792	no	evo	C	44.406944859015795	0.03417311792610447	0.2070286170918032	0.094	0.307
HAMBI2792	no	evo	D	88.11184298094192	0.12223213081527937	0.3358522760016114	0.097	0.435
HAMBI2792	no	evo	E	49.44980822899173	0.03866035447506346	0.22201854714289687	0.096	0.322
HAMBI2792	no	evo	F	89.95232663780688	0.1403886843927917	0.3509807357091826	0.094	0.449
HAMBI2792	no	evo	G	80.14812844238358	0.1277900583896228	0.35107150289743944	0.095	0.4479999999999999
HAMBI2792	no	evo	H	74.74085295315913	0.1273492625852167	0.2505262801798628	0.09	0.34700000000000003
HAMBI3031	no	evo	A	55.1802451986146	0.07179250509564816	0.34740778012906065	0.092	0.444
HAMBI3031	no	evo	B	53.61564430310866	0.07716107509111256	0.31958766324018933	0.093	0.415
HAMBI3031	no	evo	C	51.82362594896484	0.07846915289460812	0.31824519122652156	0.094	0.416
HAMBI3031	no	evo	D	54.77961753641246	0.0800782126536847	0.3267404583311147	0.092	0.423
HAMBI3031	no	evo	E	54.73857447129334	0.0796376645757789	0.3215525221065236	0.09	0.415
HAMBI3031	no	evo	F	54.4362984491899	0.08092422002670983	0.3261341994613202	0.091	0.422
HAMBI3031	no	evo	G	54.22301340138511	0.0803898331439084	0.32096268816360785	0.092	0.418
HAMBI3031	no	evo	H	56.11095560746528	0.08565749607966616	0.32761366480207754	0.09	0.422
HAMBI3237	no	evo	A	36.68325895465089	0.0387282324050827	0.24871129569939932	0.09	0.342
HAMBI3237	no	evo	B	39.763296362432655	0.04537116540830056	0.2845693364682746	0.09	0.379
HAMBI3237	no	evo	C	27.592980941484836	0.04198952101296589	0.12093260251308131	0.09	0.217
HAMBI3237	no	evo	D	33.77805143226989	0.03862414480941915	0.22623828454151515	0.09	0.32
HAMBI3237	no	evo	E	34.55810442408035	0.03851367225056085	0.22469190501700664	0.092	0.319
HAMBI3237	no	evo	F	31.37885107213276	0.03304077501164604	0.194124093205661	0.091	0.28800000000000003
HAMBI3237	no	evo	G	32.08961945830075	0.0390532020475744	0.2010648180565245	0.093	0.298
HAMBI3237	no	evo	H	26.08331271282267	0.02884607549545355	0.15130631425746283	0.097	0.25
HAMBI0006	yes	anc	A	42.75126456543568	0.18233016823208567	0.21103582658717063	0.109	0.318
HAMBI0006	yes	anc	B	34.09135480820554	0.1740294637749614	0.16884725934821176	0.108	0.278
HAMBI0006	yes	anc	C	30.46525304437187	0.17525632101868835	0.15504374896284484	0.108	0.264
HAMBI0006	yes	anc	D	28.524479895631465	0.17339788648863355	0.14081143559813197	0.107	0.249
HAMBI0006	yes	anc	E	26.778306295974936	0.15962926364537705	0.11806621029087332	0.109	0.23
HAMBI0006	yes	anc	F	31.678996525742967	0.171602535806968	0.15322544955914463	0.109	0.263
HAMBI0006	yes	anc	G	29.887010849488455	0.17570172724367297	0.15032345810061404	0.109	0.261
HAMBI0006	yes	anc	H	37.0104770791498	0.1771821237246285	0.1809050172734204	0.107	0.285
HAMBI0097	yes	anc	A	16.02990254755233	0.12946541451060223	0.07733747544716527	0.11	0.192
HAMBI0097	yes	anc	B	18.431091539326705	0.14483610212732378	0.08254006519414804	0.108	0.193
HAMBI0097	yes	anc	C	18.61276519835088	0.14919203132600228	0.08159948256539115	0.106	0.18899999999999997
HAMBI0097	yes	anc	D	15.80323324891663	0.11501375190123687	0.06470662664441855	0.106	0.172
HAMBI0097	yes	anc	E	14.707571619967988	0.12354481491213078	0.06786532084370335	0.106	0.17600000000000002
HAMBI0097	yes	anc	F	15.480146371758067	0.11499319471119455	0.06209774704953964	0.106	0.172
