plate	well	incubation_length_hours	cloneOD	clone_plus_ciliateOD	prey	predator	replicate	ciliate_detected	experiment_day			OD difference	Defence
plate12	A05	48	0.062	0.138	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.076	1.076
plate12	A06	48	0.412	0.076	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.336	0.664
plate12	A07	48	0.435	0.078	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.357	0.643
plate12	A08	48	0.457	0.567	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.11	1.11
plate12	A09	48	0.035	0.089	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.054	1.054
plate12	A10	48	0.035	0.036	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.001	1.001
plate12	A11	48	0.034	0.451	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.417	1.417
plate12	A12	48	0.036	0.22	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.184	1.184
plate12	B01	48	0.035	0.184	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.149	1.149
plate12	B02	48	0.375	0.193	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.182	0.818
plate12	B03	48	0.402	0.177	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.225	0.775
plate12	B04	48	0.476	0.55	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.074	1.074
plate12	B05	48	0.325	0.151	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.174	0.826
plate12	B06	48	0.171	0.162	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.009	0.991
plate12	B07	48	0.062	0.13	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.068	1.068
plate12	B08	48	0.154	0.197	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.043	1.043
plate12	B09	48	0.166	0.106	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			0.06	0.94
plate12	B10	48	0.035	0.121	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.086	1.086
plate12	B11	48	0.035	0.125	Ancestral Bacteria	Evolved Ciliates	3	TRUE	60			-0.09	1.09
plate12	B12	48	0.134	0.247	Ancestral Bacteria	Evolved Ciliates	3	FALSE	60			-0.113	1.113
plate12	C01	48	0.486	0.068	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.418	0.582
plate12	C02	48	0.397	0.064	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.333	0.667
plate12	C03	48	0.447	0.064	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.383	0.617
plate12	C04	48	0.49	0.207	Ancestral Bacteria	Evolved Ciliates	5	FALSE	60			0.283	0.717
plate12	C05	48	0.264	0.179	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.085	0.915
plate12	C06	48	0.229	0.19	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.039	0.961
plate12	C07	48	0.229	0.226	Ancestral Bacteria	Evolved Ciliates	5	FALSE	60			0.003	0.997
plate12	C08	48	0.224	0.24	Ancestral Bacteria	Evolved Ciliates	5	FALSE	60			-0.016	1.016
plate12	C09	48	0.408	0.059	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.349	0.651
plate12	C10	48	0.43	0.061	Ancestral Bacteria	Evolved Ciliates	5	FALSE	60			0.369	0.631
plate12	C11	48	0.56	0.053	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.507	0.493
plate12	C12	48	0.216	0.246	Ancestral Bacteria	Evolved Ciliates	5	FALSE	60			-0.03	1.03
plate12	D01	48	0.445	0.06	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.385	0.615
plate12	D02	48	0.41	0.077	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.333	0.667
plate12	D03	48	0.431	0.058	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.373	0.627
plate12	D04	48	0.423	0.058	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.365	0.635
plate12	D05	48	0.266	0.053	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.213	0.787
plate12	D06	48	0.378	0.174	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.204	0.796
plate12	D07	48	0.199	0.056	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.143	0.857
plate12	D08	48	0.449	0.066	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.383	0.617
plate12	D09	48	0.494	0.158	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.336	0.664
plate12	D10	48	0.44	0.069	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			0.371	0.629
plate12	D11	48	0.038	0.064	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			-0.026	1.026
plate12	D12	48	0.035	0.053	Ancestral Bacteria	Evolved Ciliates	5	TRUE	60			-0.018	1.018
plate12	E01	48	0.131	0.1	Evolved Bacteria	Evolved Ciliates	1	FALSE	60			0.031	0.969
plate12	E02	48	0.079	0.07	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			0.009	0.991
plate12	E03	48	0.077	0.081	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			-0.004	1.004
plate12	E04	48	0.287	0.072	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			0.215	0.785
plate12	E05	48	0.58	0.052	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			0.528	0.472
plate12	E06	48	0.383	0.071	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			0.312	0.688
plate12	E07	48	0.585	0.235	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			0.35	0.65
plate12	E08	48	0.258	0.273	Evolved Bacteria	Evolved Ciliates	1	FALSE	60			-0.015	1.015
plate12	E09	48	0.042	0.066	Evolved Bacteria	Evolved Ciliates	1	TRUE	60			-0.024	1.024
plate12	E10	48	0.262	0.069	Evolved Bacteria	Evolved Ciliates	1	FALSE	60			0.193	0.807
